epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.984,1.41344,2.06733,1.8212,0.55987,0.47845,0.50886,0.28456,1.69904,1.87827,2.36278,0.000666237,0.000666237,0.000666237
2,372.65,1.47271,1.83663,1.89725,0.67863,0.49777,0.58206,0.31273,1.72859,1.74782,2.41307,0.00131971,0.00131971,0.00131971
3,551.115,1.44163,1.75525,1.86485,0.70456,0.55126,0.64712,0.3894,1.63943,1.59647,2.28734,0.00195998,0.00195998,0.00195998
4,730.494,1.39169,1.67509,1.82874,0.68885,0.54681,0.63128,0.36777,1.61528,1.61465,2.12483,0.0019406,0.0019406,0.0019406
5,908.22,1.34508,1.57671,1.78058,0.75894,0.60815,0.71731,0.46951,1.41593,1.35564,1.95201,0.0019208,0.0019208,0.0019208
6,1085.66,1.30661,1.51665,1.74978,0.76317,0.62246,0.74247,0.4725,1.35467,1.31496,1.88838,0.001901,0.001901,0.001901
7,1263.41,1.2704,1.45284,1.72203,0.73261,0.58395,0.69021,0.42983,1.4825,1.38297,2.03739,0.0018812,0.0018812,0.0018812
8,1441.96,1.25051,1.43011,1.69995,0.74537,0.58283,0.70639,0.45955,1.39419,1.37849,1.95149,0.0018614,0.0018614,0.0018614
9,1620.55,1.2047,1.38438,1.6667,0.80016,0.65379,0.76194,0.47743,1.44285,1.16178,2.01766,0.0018416,0.0018416,0.0018416
10,1799.96,1.19646,1.34462,1.64924,0.77953,0.66865,0.77163,0.51693,1.32094,1.11557,1.82485,0.0018218,0.0018218,0.0018218
11,1978.24,1.18336,1.31047,1.63878,0.83995,0.69402,0.80999,0.55304,1.20458,1.03487,1.70121,0.001802,0.001802,0.001802
12,2156.36,1.15193,1.28156,1.61133,0.80799,0.67756,0.78536,0.54991,1.14351,1.07703,1.68021,0.0017822,0.0017822,0.0017822
13,2335.14,1.15297,1.27858,1.60672,0.81721,0.69087,0.79894,0.56994,1.14859,1.03522,1.66434,0.0017624,0.0017624,0.0017624
14,2513.53,1.11571,1.22643,1.58317,0.79984,0.71917,0.81372,0.56783,1.16414,1.00369,1.6524,0.0017426,0.0017426,0.0017426
15,2692.33,1.11377,1.21757,1.58119,0.80115,0.70642,0.78547,0.55193,1.19735,1.04594,1.72658,0.0017228,0.0017228,0.0017228
